id,transactionId,barcode,deleted,finalPrice,itemPrice,priceAfterCoupon,discountedItemPrice,originalFinalPrice,quantityPurchased,originalMetaBriteItemPrice,partnerItemId,metabriteCampaignId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReview,needsFetchReviewReason,originalMetaBriteBarcode,originalMetaBriteQuantityPurchased
132,43,043000043486,1,9.99,9.99,,,,1.0,,7,,,1,,,1,,,
133,43,043000043486,1,9.99,9.99,,,,1.0,,8,,,1,,,1,,,
134,43,043000043486,1,9.99,9.99,,,,1.0,,9,,,1,,,1,,,
135,44,029000024748,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
136,44,029000024748,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
137,44,029000024748,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
138,44,029000024748,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
139,44,029000024748,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
140,45,044700002810,1,5,5,,,,1.0,,1,,,1,,,1,,,
141,45,044700002810,1,5,5,,,,1.0,,2,,,1,,,1,,,
142,45,044700002810,1,5,5,,,,1.0,,3,,,1,,,1,,,
143,45,044700002810,1,5,5,,,,1.0,,4,,,1,,,1,,,
144,45,044700002810,1,5,5,,,,1.0,,5,,,1,,,1,,,
145,46,043000079904,1,5,5,,,,1.0,,1,,,1,,,1,,,
146,46,043000079904,1,5,5,,,,1.0,,2,,,1,,,1,,,
147,46,043000079904,1,5,5,,,,1.0,,3,,,1,,,1,,,
148,46,043000079904,1,5,5,,,,1.0,,4,,,1,,,1,,,
149,46,043000079904,1,5,5,,,,1.0,,5,,,1,,,1,,,
150,47,044000000745,1,1.00,1.00,,1.00,,1.0,,1030,,,1,,,1,,,
151,48,,1,28.57,28.57,28.57,28.57,,1.0,,0,,,1,,,1,,,
152,49,046704085905,1,4.55,4.55,,,,1.0,,1,,,1,,,1,,,
153,49,046704085905,1,4.55,4.55,,,,1.0,,2,,,1,,,1,,,
154,49,046704085905,1,4.55,4.55,,,,1.0,,3,,,1,,,1,,,
155,49,046704085905,1,4.55,4.55,,,,1.0,,4,,,1,,,1,,,
156,50,021000057832,1,1,1,,,,1.0,,1,,,1,,,1,,,
157,51,021000002917,1,10,10,,,,1.0,,1,,,1,,,1,,,
158,52,044700019917,1,10,10,,,,1.0,,1,,,1,,,1,,,
159,53,043000035818,1,0.99,0.99,,,,1.0,,1,,,1,,,1,,,
160,54,070085046583,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
161,54,070085046583,1,9.99,9.99,,,,1.0,,2,,,1,,,1,,,
162,54,070085046583,1,9.99,9.99,,,,1.0,,3,,,1,,,1,,,
163,54,070085046583,1,9.99,9.99,,,,1.0,,4,,,1,,,1,,,
164,54,070085046583,1,9.99,9.99,,,,1.0,,5,,,1,,,1,,,
165,55,044700073377,1,1,1,,,,1.0,,1,,,1,,,1,,,
166,56,021000055920,1,1,1,,,,1.0,,1,,,1,,,1,,,
167,57,021000051885,1,0.99,0.99,,,,1.0,,1,,,1,,,1,,,
168,58,071040063102,1,9.99,9.99,,,,1.0,,1,,,1,,,1,,,
169,59,,1,28.57,28.57,28.57,28.57,,1.0,,0,,,1,,,1,,,
170,60,4011,1,25.00,25.00,,,,4.0,,1,,4011,1,25.00,4.0,0,,,
171,61,4011,1,27.00,27.00,,,,5.0,,1,,4011,1,27.00,5.0,0,,,
172,62,,1,22.97,22.97,22.97,22.97,,1.0,,0,,,1,,,1,,,
173,62,,1,11.99,11.99,11.99,11.99,,1.0,,1,,,1,,,1,,,
174,63,022174070214,1,1,1,,,,1.0,,1,,,1,,,1,,,
175,64,079400066619,1,1,1,,,,1.0,,1,,079400066619,1,,,0,,080878042197,
176,65,4011,1,29.00,29.00,,,,2.0,,1,,4011,1,29.00,2.0,0,,,
177,66,043000012871,1,1,1,,,,1.0,,1,,,1,,,1,,,
